OBJECT;NAAM;DEFINITIE;JURICONNECT bronverwijzing ;Juridische bronverwijzing;Opmerkingen;OBJECT (English);NAME;DEFINITION;Legal reference to source;Notes;Used;;;;;;
iFEIT.Vw.16.1.j.afwijzen;afgewezen vanwege illegaal verblijf;een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 Vw, wordt afgewezen omdat de vreemdeling in heeft Nederland verblijf gehouden, anders dan op grond van artikel 8;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=j;Artikel 16, lid 1, aanhef en onder j, Vw;;iFACT.AA.16.1.j.reject;;the application to grant a temporary residence permit is rejected because the alien resided in the Netherlands other than in accordance with iFACT.AA.8;Article 16, paragraph 1, introduction and point j, AA;;Ja;;;;;;
iFEIT.Vw.16.1.k;geen verklaring referent overlegd;ten behoeve van het verblijf van de vreemdeling is geen verklaring van een referent overgelegd als bedoeld in artikel 2a, eerste lid;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=k;Artikel 16, lid 1, onder k, Vw;;iFACT.AA.16.1.k;;the sponsor did not submit a statement on the residence of the alien pursuant to iFACT.AA.2a.1;Article 16, paragraph 1, point k, AA;;Ja;;;;;;
iFEIT.Vw.16.1.k.afwijzen;afgewezen omdat geen verklaring referent is overlegd; ;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=k;Artikel 16, lid 1, aanhef en onder k, Vw;;iFACT.AA.16.1.k.reject;;the application to grant a temporary residence permit is rejected because the sponsor did not submit a statement on the residence of the alien pursuant to iFACT.AA.2a.1;Article 16, paragraph 1, introduction and point k, AA;;Ja;;;;;;
iFEIT.Vw.17.1.a;nationaliteit ŽŽn der aangewezen landen;de vreemdeling bezit de nationaliteit van ŽŽn der door bij regeling van Onze Minister in overeenstemming met Onze Minister van Buitenlandse Zaken aangewezen landen;jci1.31:c:BWBR0011823&g=2014-03-29&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=17&Lid=1&Nummer=a;Artikel 17, lid 1, onder a, Vw;;iFACT.AA.17.1.a;;the alien possesses a designated nationality;Article 17, paragraph 1, point a, AA;;Ja;;;;;;
iFEIT.Vw.17.1.b;vreemdeling is gemeenschapsonderdaan;de vreemdeling is gemeenschapsonderdaan, voorzover niet reeds vrijgesteld op grond van een aanwijzing als bedoeld onder artikel 17, eerste lid onder a, Vw;jci1.31:c:BWBR0011823&g=2014-03-29&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=17&Lid=1&Nummer=b;Artikel 17, lid 1, onder b, Vw;;iFACT.AA.17.1.b;;the alien is a citizen or a EU Member State;Article 17, paragraph 1, point b, AA;;Ja;;;;;;
iFEIT.Vw.17.1.c;vreemdeling kan vanwege gezondheid niet reizen;het is voor de vreemdeling, gelet op diens gezondheidstoestand, niet verantwoord om te reizen;jci1.31:c:BWBR0011823&g=2014-03-29&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=17&Lid=1&Nummer=c;Artikel 17, lid 1, onder c, Vw;;iFACT.AA.17.1.c;;the alien is unable to travel due to his health;Article 17, paragraph 1, point c, AA;;Ja;;;;;;
iFEIT.Vw.17.1.d;slachtoffer getuige-aangever van mensenhandel;de vreemdeling is slachtoffer of getuige-aangever van mensenhandel;jci1.31:c:BWBR0011823&g=2014-03-29&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=17&Lid=1&Nummer=d;Artikel 17, lid 1, onder d, Vw;;iFACT.AA.17.1.d;;the alien is a victim or a witness reporting human trafficking;Article 17, paragraph 1, point d, AA;;Ja;;;;;;
iFEIT.Vw.17.1.e;bezit VVA;de vreemdeling was onmiddellijk voorafgaande aan de aanvraag in het bezit van een VVA BEP dan wel van een VVA ONBEP;jci1.31:c:BWBR0011823&g=2014-03-29&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=17&Lid=1&Nummer=e;Artikel 17, lid 1, onder e, Vw;;iFACT.AA.17.1.e;;the alien is in possession of a residence permit prior to application;Article 17, paragraph 1, point e, AA;;Ja;;;;;;
iFEIT.Vw.17.1.f;tijdig ingediende wijziging verblijfsvergunning;de vreemdeling heeft tijdig een aanvraag ingediend tot wijziging van een verblijfsvergunning;jci1.31:c:BWBR0011823&g=2014-03-29&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=17&Lid=1&Nummer=f;Artikel 17, lid 1, onder f, Vw;;iFACT.AA.17.1.f;;the alien has timely submitted a application to amend his permit;Article 17, paragraph 1, point f, AA;;Ja;;;;;;
iFEIT.Vw.17.1.g;bij AmvB aangewezen categorie;de vreemdeling behoort tot een bij algemene maatregel van bestuur aangewezen categorie;jci1.31:c:BWBR0011823&g=2014-03-29&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=17&Lid=1&Nummer=g;Artikel 17, lid 1, onder g, Vw;;iFACT.AA.17.1.g;;the alien belongs to a category designated by decree;Article 17, paragraph 1, point g, AA;;Ja;;;;;;
iFEIT.Vw.17.1.h;langdurig ingezetene of gezinslid daarvan;de vreemdeling is een langdurig ingezetene uit een andere EU-lidstaat, dan wel diens echtgenoot of minderjarig kind ingeval het gezin reeds was gevormd in die andere lidstaat;jci1.31:c:BWBR0011823&g=2014-03-29&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=17&Lid=1&Nummer=h;Artikel 17, lid 1, onder h, Vw;;iFACT.AA.17.1.h;;the alien is long-term resident of another EU Member State or his spouse or child;Article 17, paragraph 1, point h, AA;;Ja;;;;;;
iFEIT.Vw.24.2.zin3;betaling leges blijft achterwege;als betaling van verschuldigde leges achterwege blijft, wordt de aanvraag niet in behandeling genomen dan wel het document niet afgegeven;jci1.31:c:BWBR0011823&g=2014-03-01&Hoofdstuk=3&Afdeling=3&Paragraaf=3&Artikel=24&Lid=2;Artikel 24, lid 2, Vw;;iFACT.AA.24.2.sentence3;;if payment is not made, the application will be disregarded;Article 24, paragraph 2, AA;;Ja;;;;;;
iFEIT.Vw.24.2.zin4;Artikel 4:5, vierde lid, Awb n.v.t.;artikel 4:5, vierde lid, Algemene wet bestuursrecht is niet van toepassing;jci1.31:c:BWBR0011823&g=2014-03-01&Hoofdstuk=3&Afdeling=3&Paragraaf=3&Artikel=24&Lid=2;Artikel 24, lid 2, Vw;;iFACT.AA.24.2.sentence4;Article 4:5, paragraph 4, GAL does not apply.;article 4:5, paragraph 4, GAL does not apply;Article 24, paragraph 2, AA;;Ja;;;;;;
iFEIT.Vw.26.1.datum;VVR niet voor datum aanvraag;de verblijfsvergunning, die van rechtswege rechtmatig verblijf inhoudt, wordt niet eerder verleend dan met ingang van de dag waarop de aanvraag is ontvangen.;jci1.31:c:BWBR0011823&g=2001-04-01&Hoofdstuk=3&Afdeling=3&Paragraaf=5&Artikel=16&Lid=1;Artikel 26, lid 1, Vw;"Uit het feit dat dit artikel deel uitmaakt van H3, afdeling 3, Vw (titel: ""De verblijfsvergunning regulier"") is af te leiden dat het hier gaat om een verblijfsvergunning regulier.";iFACT.AA.26.1.date;;the residence permit is granted with effect from the date on which the alien demonstrates that he meets all the conditions, but no earlier than from the day the application is received;Article 26, paragraph 1, AA;;Ja;;;;;;
iFEIT.Vw.26.1.voldoet;VVR op dag voldaan aan voorwaarden;de verblijfsvergunning, die van rechtswege rechtmatig verblijf inhoudt, wordt verleend met ingang van de dag waarop de vreemdeling heeft aangetoond dat hij aan alle voorwaarden voldoet, maar niet eerder dan met ingang van de dag waarop de aanvraag is ontvangen;jci1.31:c:BWBR0011823&g=2001-04-01&Hoofdstuk=3&Afdeling=3&Paragraaf=5&Artikel=16&Lid=1;Artikel 26, lid 1, Vw;"Uit het feit dat dit artikel deel uitmaakt van H3, afdeling 3, Vw (titel: ""De verblijfsvergunning regulier"") is af te leiden dat het hier gaat om een verblijfsvergunning regulier.";iFACT.AA.26.1.fulfills;;the alien has demonstrated that he fulfills all conditions for granting a residence permit;Article 26, paragraph 1, AA;;Ja;;;;;;
1105/2011/EU.1.buitengrens;recht op overschrijden buitengrenzen;reisdocumenten dat de houder recht geven op overschrijding van de buitengrenzen;;;;1105/2011/EU.1.borders;borders;the travel document gives the holder the right to cross the borders of the EU;;;Afleiding;;;;;;
1105/2011/EU.1.visum;document waarin visum kan worden aangebracht;reisdocumenten waarin een visum kan worden aangebracht;;;;1105/2011/EU.1.visa;visa;a visa can be submitted to travel document;;;Afleiding;;;;;;
iFEIT.Vw.16.1.b.document;document voor grensoverschrijding;een document voor grensoverschrijding;;;;iFACT.AA.16.1.b.document;border-crossing document;a bordercrossing document;Article 16, paragraph 1, introduction and point b, AA;;Afleiding;;;;;;
iFEIT.travel.doc.part.I;erkend door alle lidstaten in bijlage 1;reisdocument erkend door alle lidstaten in bijlage 1;;;;iFACT.travel.doc.part.I;recognized by all member states in part 1;travel document recognized by all member states in part 1;;;Afleiding;;;;;;
iFEIT.travel.doc.part.II;erkend door alle lidstaten in bijlage 2;reisdocument erkend door alle lidstaten in bijlage 2;;;;iFACT.travel.doc.part.II;recognized by all member states in part 2;travel document recognized by all member states in part 2;;;Afleiding;;;;;;
iFEIT.travel.doc.part.III;erkend door alle lidstaten in bijlage 3;reisdocument erkend door alle lidstaten in bijlage 3;;;;iFACT.travel.doc.part.III;recognized by all member states in part 3;travel document recognized by all member states in part 3;;;Afleiding;;;;;;
iFEIT.travel.doc.part.I.NL;erkend door NL in bijlage 1;reisdocument erkend door Nederland in bijlage 1;;;;iFACT.travel.doc.part.I.NL;recognized by NL in part 1;travel document recognized by the Netherlands in part 1;;;Afleiding;;;;;;
iFEIT.travel.doc.part.II.NL;erkend door NL in bijlage 2;reisdocument erkend door Nederland in bijlage 2;;;;iFACT.travel.doc.part.II.NL;recognized by NL in part 2;travel document recognized by the Netherlands in part 2;;;Afleiding;;;;;;
iFEIT.travel.doc.part.III.NL;erkend door NL in bijlage 3;reisdocument erkend door Nederland in bijlage 3;;;;iFACT.travel.doc.part.III.NL;recognized by NL in part 3;travel document recognized by the Netherlands in part 3;;;Afleiding;;;;;;
iFEIT.monsterboekje;geen visum in monsterboekje;In een visum kan op grond van de Schengengrenscode geen visum worden aangebracht;;;;iFACT.seamensbook;no visa in seamen's book;no visa can be submitted in a seamen's book;;;Afleiding;;;;;;
iFEIT.Vw.16.1.b.IND.BB.reisdocument.naam=paspoort;reisdocument = paspoort;"naam reisdocument bevat de term ""paspoort""";GEEN;GEEN;iFEIT.Vw.16.1.b.IND.BB.02;iFACT.AA.16.1.b.IND.PD.traveldocument.name=paspoort;"name travel document contains term ""passport""";"name travel document contains the term ""passport""";NONE;iFACT.AA.16.1.b.IND.PD.02;Afleiding;;;;;;
iFEIT.Vw.16.1.b.IND.BB.alle.echtheidskenmerken;alle echtheidskenmerken;document bevat alle echtheidskenmerken;GEEN;GEEN;iFEIT.Vw.16.1.b.IND.BB.04;iFACT.AA.16.1.b.IND.PD.all.authentication.features;document includes all the authentication features;document includes all the authentication features;NONE;iFACT.AA.16.1.b.IND.PD.04;Afleiding;;;;;;
iFEIT.Vw.16.1.b.IND.BB.geen.kenmerken.ongeldigheid;geen aanwijzingen ongeldigheid;document bevat geen kenmerken die op een geldig document ontbreken;GEEN;GEEN;iFEIT.Vw.16.1.b.IND.BB.05;iFACT.AA.16.1.b.IND.PD.no.features.invalidity;no signs of invalidity;document does not contain any features that were missing on a valid document;NONE;iFACT.AA.16.1.b.IND.PD.05;Afleiding;;;;;;
iFEIT.Vw.16.1.b.IND.BB.datum.afgifte.v——r.aanvraag;document afgegeven v——r aanvraag;datum van afgifte document ligt v——r de datum van de aanvraag;GEEN;GEEN;iFEIT.Vw.16.1.b.IND.BB.06;iFACT.AA.16.1.b.IND.PD.date.issue.before.application;issued before submission application;date of issue document is before the submission date of application;NONE;iFACT.AA.16.1.b.IND.PD.06;Afleiding;;;;;;
iFEIT.Vw.16.1.b.IND.BB.datum.geldig.tot.n‡.aanvraag;document geldig tot datum na aanvraag;datum geldig tot van document ligt n‡ de datum van de aanvraag;GEEN;GEEN;iFEIT.Vw.16.1.b.IND.BB.07;iFACT.AA.16.1.b.IND.PD.date.expiry.after.application;expires after submission application;date of expiry document is after the submission date of application;NONE;iFACT.AA.16.1.b.IND.PD.07;Afleiding;;;;;;
iFEIT.Vw.16.1.b.IND.BB.datum.afgifte.v——r.besluit;document afgegeven v——r beslissing;datum van afgifte document ligt v——r de datum van het besluit op de aanvraag;GEEN;GEEN;iFEIT.Vw.16.1.b.IND.BB.08;iFACT.AA.16.1.b.IND.PD.date.issue.before.decision;issued before decision;date of issue document is before de datum the date of the decision on the application;NONE;iFACT.AA.16.1.b.IND.PD.08;Afleiding;;;;;;
iFEIT.Vw.16.1.b.IND.BB.datum.geldig.tot.n‡.besluit;document geldig tot datum na beslissing;datum geldig tot van document ligt n‡ de datum van het besluit op de aanvraag;GEEN;GEEN;iFEIT.Vw.16.1.b.IND.BB.09;iFACT.AA.16.1.b.IND.PD.date.expiry.after.decision;expires after decision;date of expiry document is after the date of the decision on the application;NONE;iFACT.AA.16.1.b.IND.PD.09;Afleiding;;;;;;
iFEIT.Vw.16.1.b.IND.BB.gelegenheid;gelegenheid tonen document;de vreemdeling is in de gelegenheid gesteld aan te tonen dat hij beschikt over een geldig document voor grensoverschrijding;GEEN;GEEN;;;opportunity to proof possession document;the alien has been given the opportunity to proof he does possess a valid border-crossing document;NONE;;Afleiding;;;;;;
iFEIT.Vw.16.1.b.IND.BB.niet.aangetoond;bezit document aangetoond;de vreemdeling heeft niet aangetoond te dat hij beschikt over een geldig document voor grensoverschrijding;GEEN;GEEN;;;proofed possession document;the alien has not proofed to possess a valid border-crossing document;NONE;;Afleiding;;;;;;
iFEIT.Awb.4:7.1.a;afwijzing steunt op gegevens over aanvrager;de afwijzing steunt op gegevens over feiten en belangen die de aanvrager betreffen;jci1.31:c:BWBR0005537&g=1994-01-01&Hoofdstuk=4&Titeldeel=4.1&Afdeling=4.1.2&Artikel=4:7&Lid=1;artikel 4:7, eerste lid, onder a, Awb;;iFACT.GAL.4:7.1.a;rejection is based on facts from applicant;the rejection is based on information about facts and interests concerning the applicant;Article 4:7, paragraph 1, point a, GAL;;Ja;;;;;;
iFEIT.Awb.4:7.1.b;gegevens wijken af van verstrekte gegevens;de afwijzing steunt op gegevens die afwijken van gegevens die de aanvrager ter zake zelf heeft verstrekt;jci1.31:c:BWBR0005537&g=1994-01-01&Hoofdstuk=4&Titeldeel=4.1&Afdeling=4.1.2&Artikel=4:7&Lid=1;artikel 4:7, eerste lid, onder b, Awb;;iFACT.GAL.4:7.1.b;facts deviate from facts provided by applicant;the rejection is based on data that deviate from information provided by the applicant on the matter itself;Article 4:7, paragraph 1, point b, GAL;;Ja;;;;;;
iFEIT.Awb.4:7.2;afwijking van aanvraag van geringe betekenis;er is sprake van een afwijking van de aanvraag die slechts van geringe betekenis voor de aanvrager kan zijn;jci1.31:c:BWBR0005537&g=1994-01-01&Hoofdstuk=4&Titeldeel=4.1&Afdeling=4.1.2&Artikel=4:7&Lid=2;artikel 4:7, tweede lid, Awb;;iFACT.GAL.4:7.2;difference of minor importance;the difference between the application and the decision can only be of minor importance for the applicant;Article 4:7, paragraph 2, GAL;;Ja;;;;;;
